year,volume,name,place
1999,52,ONE PIECE,2
1999,52,世紀末リーダー伝 たけし！,3
1999,52,ヒカルの碁,1
1999,52,HUNTER×HUNTER,14
1999,52,遊☆戯☆王,7
1999,52,ライジング インパクト,12
1999,52,テニスの王子様,5
1999,52,NARUTO －ナルト－,6
1999,52,花さか天使テンテンくん,4
1999,52,シャーマンキング,9
1999,52,封神演義,11
1999,52,こちら葛飾区亀有公園前派出所,13
1999,52,I''s ＜アイズ＞,16
1999,52,ホイッスル！,15
1999,52,ZOMBIE POWDER,8
1999,52,ROOKIES,17
1999,52,明稜帝 梧桐勢十郎,19
1999,52,Romancers,18
1999,51,ONE PIECE,2
1999,51,世紀末リーダー伝 たけし！,4
1999,51,HUNTER×HUNTER,3
1999,51,ヒカルの碁,6
1999,51,遊☆戯☆王,10
1999,51,ライジング インパクト,5
1999,51,テニスの王子様,1
1999,51,シャーマンキング,17
1999,51,封神演義,11
1999,51,花さか天使テンテンくん,9
1999,51,I''s ＜アイズ＞,16
1999,51,こちら葛飾区亀有公園前派出所,13
1999,51,ホイッスル！,12
1999,51,ZOMBIE POWDER,8
1999,51,ROOKIES,15
1999,51,明稜帝 梧桐勢十郎,18
1999,51,サバイビー,19
1999,51,NARUTO －ナルト－,7
1999,51,Romancers,14
1999,50,ONE PIECE,4
1999,50,世紀末リーダー伝 たけし！,1
1999,50,HUNTER×HUNTER,3
1999,50,ヒカルの碁,2
1999,50,遊☆戯☆王,6
1999,50,ライジング インパクト,7
1999,50,テニスの王子様,5
1999,50,シャーマンキング,15
1999,50,封神演義,11
1999,50,花さか天使テンテンくん,9
1999,50,I''s ＜アイズ＞,12
1999,50,こちら葛飾区亀有公園前派出所,13
1999,50,ホイッスル！,10
1999,50,明稜帝 梧桐勢十郎,19
1999,50,ROOKIES,16
1999,50,ZOMBIE POWDER,17
1999,50,サバイビー,18
1999,50,NARUTO －ナルト－,8
1999,50,Romancers,14
1999,49,ONE PIECE,1
1999,49,ヒカルの碁,2
1999,49,HUNTER×HUNTER,3
1999,49,世紀末リーダー伝 たけし！,休
1999,49,遊☆戯☆王,4
1999,49,ライジング インパクト,8
1999,49,シャーマンキング,7
1999,49,テニスの王子様,5
1999,49,封神演義,12
1999,49,花さか天使テンテンくん,6
1999,49,I''s ＜アイズ＞,16
1999,49,こちら葛飾区亀有公園前派出所,15
1999,49,明稜帝 梧桐勢十郎,19
1999,49,ROOKIES,13
1999,49,ZOMBIE POWDER,17
1999,49,ホイッスル！,14
1999,49,サバイビー,18
1999,49,NARUTO －ナルト－,9
1999,49,Romancers,10
1999,48,ONE PIECE,2
1999,48,世紀末リーダー伝 たけし！,4
1999,48,ヒカルの碁,1
1999,48,HUNTER×HUNTER,5
1999,48,遊☆戯☆王,3
1999,48,ライジング インパクト,8
1999,48,封神演義,10
1999,48,シャーマンキング,9
1999,48,テニスの王子様,6
1999,48,花さか天使テンテンくん,16
1999,48,I''s ＜アイズ＞,落
1999,48,明稜帝 梧桐勢十郎,17
1999,48,こちら葛飾区亀有公園前派出所,15
1999,48,ZOMBIE POWDER,14
1999,48,ROOKIES,休
1999,48,ホイッスル！,18
1999,48,サバイビー,19
1999,48,NARUTO －ナルト－,12
1999,48,Romancers,7
1999,47,ONE PIECE,3
1999,47,HUNTER×HUNTER,4
1999,47,世紀末リーダー伝 たけし！,2
1999,47,遊☆戯☆王,1
1999,47,ヒカルの碁,5
1999,47,ライジング インパクト,8
1999,47,封神演義,15
1999,47,シャーマンキング,11
1999,47,テニスの王子様,6
1999,47,花さか天使テンテンくん,13
1999,47,I''s ＜アイズ＞,9
1999,47,明稜帝 梧桐勢十郎,19
1999,47,こちら葛飾区亀有公園前派出所,10
1999,47,ZOMBIE POWDER,17
1999,47,ROOKIES,16
1999,47,ホイッスル！,12
1999,47,サバイビー,18
1999,47,NARUTO －ナルト－,14
1999,47,Romancers,7
1999,46,ONE PIECE,3
1999,46,HUNTER×HUNTER,1
1999,46,世紀末リーダー伝 たけし！,2
1999,46,ヒカルの碁,5
1999,46,遊☆戯☆王,7
1999,46,ライジング インパクト,6
1999,46,封神演義,4
1999,46,シャーマンキング,11
1999,46,テニスの王子様,9
1999,46,花さか天使テンテンくん,12
1999,46,I''s ＜アイズ＞,18
1999,46,明稜帝 梧桐勢十郎,19
1999,46,ZOMBIE POWDER,16
1999,46,こちら葛飾区亀有公園前派出所,17
1999,46,ROOKIES,15
1999,46,サバイビー,20
1999,46,ホイッスル！,14
1999,46,NARUTO －ナルト－,8
1999,46,Romancers,10
1999,45,ONE PIECE,1
1999,45,HUNTER×HUNTER,3
1999,45,遊☆戯☆王,7
1999,45,ヒカルの碁,4
1999,45,世紀末リーダー伝 たけし！,9
1999,45,ライジング インパクト,2
1999,45,シャーマンキング,5
1999,45,封神演義,休
1999,45,テニスの王子様,10
1999,45,花さか天使テンテンくん,6
1999,45,こちら葛飾区亀有公園前派出所,14
1999,45,I''s ＜アイズ＞,15
1999,45,ZOMBIE POWDER,18
1999,45,明稜帝 梧桐勢十郎,12
1999,45,サバイビー,17
1999,45,ROOKIES,16
1999,45,CHILDRAGON,20
1999,45,ホイッスル！,19
1999,45,NARUTO －ナルト－,11
1999,45,Romancers,8
1999,44,ONE PIECE,2
1999,44,HUNTER×HUNTER,4
1999,44,遊☆戯☆王,11
1999,44,ヒカルの碁,7
1999,44,世紀末リーダー伝 たけし！,3
1999,44,ライジング インパクト,5
1999,44,封神演義,12
1999,44,シャーマンキング,6
1999,44,テニスの王子様,10
1999,44,花さか天使テンテンくん,9
1999,44,ZOMBIE POWDER,15
1999,44,こちら葛飾区亀有公園前派出所,14
1999,44,I''s ＜アイズ＞,休
1999,44,明稜帝 梧桐勢十郎,13
1999,44,サバイビー,17
1999,44,CHILDRAGON,19
1999,44,ROOKIES,16
1999,44,ホイッスル！,18
1999,44,NARUTO －ナルト－,8
1999,44,Romancers,1
1999,43,ONE PIECE,2
1999,43,遊☆戯☆王,休
1999,43,ヒカルの碁,4
1999,43,HUNTER×HUNTER,6
1999,43,世紀末リーダー伝 たけし！,3
1999,43,ライジング インパクト,5
1999,43,るろうに剣心 －明治剣客浪漫譚－,7
1999,43,封神演義,8
1999,43,シャーマンキング,10
1999,43,テニスの王子様,9
1999,43,花さか天使テンテンくん,12
1999,43,こちら葛飾区亀有公園前派出所,15
1999,43,I''s ＜アイズ＞,11
1999,43,CHILDRAGON,19
1999,43,サバイビー,18
1999,43,明稜帝 梧桐勢十郎,13
1999,43,ROOKIES,17
1999,43,ホイッスル！,14
1999,43,ZOMBIE POWDER,16
1999,43,NARUTO －ナルト－,1
1999,42,ONE PIECE,2
1999,42,遊☆戯☆王,1
1999,42,ヒカルの碁,8
1999,42,HUNTER×HUNTER,6
1999,42,世紀末リーダー伝 たけし！,3
1999,42,ライジング インパクト,5
1999,42,るろうに剣心 －明治剣客浪漫譚－,9
1999,42,封神演義,7
1999,42,シャーマンキング,4
1999,42,テニスの王子様,10
1999,42,こちら葛飾区亀有公園前派出所,17
1999,42,花さか天使テンテンくん,11
1999,42,サバイビー,18
1999,42,I''s ＜アイズ＞,16
1999,42,明稜帝 梧桐勢十郎,12
1999,42,ROOKIES,14
1999,42,ホイッスル！,15
1999,42,CHILDRAGON,19
1999,42,ZOMBIE POWDER,13
1999,41,ONE PIECE,1
1999,41,ヒカルの碁,2
1999,41,遊☆戯☆王,3
1999,41,HUNTER×HUNTER,落
1999,41,世紀末リーダー伝 たけし！,8
1999,41,ライジング インパクト,4
1999,41,るろうに剣心 －明治剣客浪漫譚－,7
1999,41,封神演義,5
1999,41,シャーマンキング,休
1999,41,こちら葛飾区亀有公園前派出所,12
1999,41,サバイビー,19
1999,41,花さか天使テンテンくん,10
1999,41,I''s ＜アイズ＞,6
1999,41,ROOKIES,16
1999,41,明稜帝 梧桐勢十郎,11
1999,41,ホイッスル！,18
1999,41,テニスの王子様,9
1999,41,CHILDRAGON,20
1999,41,ZOMBIE POWDER,17
1999,40,ONE PIECE,2
1999,40,ヒカルの碁,1
1999,40,遊☆戯☆王,3
1999,40,HUNTER×HUNTER,4
1999,40,世紀末リーダー伝 たけし！,5
1999,40,ライジング インパクト,6
1999,40,るろうに剣心 －明治剣客浪漫譚－,9
1999,40,シャーマンキング,10
1999,40,封神演義,8
1999,40,こちら葛飾区亀有公園前派出所,15
1999,40,花さか天使テンテンくん,7
1999,40,I''s ＜アイズ＞,11
1999,40,ROOKIES,12
1999,40,ホイッスル！,18
1999,40,明稜帝 梧桐勢十郎,14
1999,40,武士沢レシーブ,20
1999,40,サバイビー,17
1999,40,テニスの王子様,13
1999,40,CHILDRAGON,19
1999,40,ZOMBIE POWDER,16
1999,39,ONE PIECE,2
1999,39,遊☆戯☆王,4
1999,39,ヒカルの碁,5
1999,39,HUNTER×HUNTER,6
1999,39,るろうに剣心 －明治剣客浪漫譚－,10
1999,39,世紀末リーダー伝 たけし！,1
1999,39,ライジング インパクト,15
1999,39,シャーマンキング,11
1999,39,封神演義,3
1999,39,こちら葛飾区亀有公園前派出所,14
1999,39,花さか天使テンテンくん,9
1999,39,ROOKIES,18
1999,39,I''s ＜アイズ＞,13
1999,39,ホイッスル！,19
1999,39,明稜帝 梧桐勢十郎,12
1999,39,武士沢レシーブ,20
1999,39,サバイビー,16
1999,39,テニスの王子様,8
1999,39,CHILDRAGON,17
1999,39,ZOMBIE POWDER,7
1999,37,ONE PIECE,1
1999,37,遊☆戯☆王,7
1999,37,ヒカルの碁,9
1999,37,HUNTER×HUNTER,2
1999,37,るろうに剣心 －明治剣客浪漫譚－,3
1999,37,ライジング インパクト,12
1999,37,シャーマンキング,10
1999,37,世紀末リーダー伝 たけし！,6
1999,37,封神演義,5
1999,37,こちら葛飾区亀有公園前派出所,16
1999,37,花さか天使テンテンくん,13
1999,37,ROOKIES,20
1999,37,ホイッスル！,19
1999,37,I''s ＜アイズ＞,15
1999,37,武士沢レシーブ,21
1999,37,明稜帝 梧桐勢十郎,18
1999,37,サバイビー,17
1999,37,テニスの王子様,11
1999,37,CHILDRAGON,8
1999,37,ZOMBIE POWDER,14
1999,36,ONE PIECE,2
1999,36,遊☆戯☆王,4
1999,36,ヒカルの碁,3
1999,36,ライジング インパクト,1
1999,36,シャーマンキング,5
1999,36,世紀末リーダー伝 たけし！,6
1999,36,るろうに剣心 －明治剣客浪漫譚－,9
1999,36,封神演義,13
1999,36,HUNTER×HUNTER,休
1999,36,こちら葛飾区亀有公園前派出所,10
1999,36,花さか天使テンテンくん,15
1999,36,ROOKIES,14
1999,36,ホイッスル！,19
1999,36,武士沢レシーブ,18
1999,36,I''s ＜アイズ＞,16
1999,36,明稜帝 梧桐勢十郎,17
1999,36,サバイビー,8
1999,36,テニスの王子様,7
1999,36,CHILDRAGON,12
1999,36,ZOMBIE POWDER,11
1999,35,ONE PIECE,2
1999,35,遊☆戯☆王,1
1999,35,ヒカルの碁,6
1999,35,HUNTER×HUNTER,休
1999,35,シャーマンキング,10
1999,35,るろうに剣心 －明治剣客浪漫譚－,5
1999,35,世紀末リーダー伝 たけし！,9
1999,35,封神演義,12
1999,35,こちら葛飾区亀有公園前派出所,3
1999,35,花さか天使テンテンくん,15
1999,35,ROOKIES,16
1999,35,武士沢レシーブ,20
1999,35,I''s ＜アイズ＞,17
1999,35,ホイッスル！,18
